instance,family,variant,K,z_rmp,bks,cert_status,best_rc,certified,eps,lower_bound,interval_width,cert_seconds,cert_nodes
C101,C1,single_tight_30s,25,988.0,827.3,integer optimal solution,-791.0,False,,,,0.1,0
C101,C1,diversified_tight_30s,25,988.0,827.3,integer optimal solution,-791.0,False,,,,0.1,0
C104,C1,single_tight_30s,25,2013.0,822.9,time limit exceeded,-216.0,False,,,,300.0,98320
C104,C1,diversified_tight_30s,25,2013.0,822.9,time limit exceeded,-372.0,False,,,,300.0,98056
C104,C1,rule_lfo_C1,25,2013.0,822.9,time limit exceeded,-292.0,False,,,,300.0,105247
C107,C1,single_tight_30s,25,1570.0,827.3,time limit exceeded,-260.98,False,,,,300.0,29470
C107,C1,diversified_tight_30s,25,1542.84,827.3,integer optimal solution,-146.97,False,,,,11.6,1566
C107,C1,rule_lfo_C1,25,1570.0,827.3,time limit exceeded,-325.0,False,,,,300.0,84729
C204,C2,single_tight_30s,25,1442.0,588.1,time limit exceeded,-1005.85,False,,,,300.0,196316
C204,C2,diversified_tight_30s,25,1338.82,588.1,time limit exceeded,-1045.63,False,,,,300.0,162494
C204,C2,rule_lfo_C2,25,1442.0,588.1,time limit exceeded,-1174.09,False,,,,300.0,92478
C208,C2,single_tight_30s,25,954.0,585.8,time limit exceeded,-476.38,False,,,,300.0,399242
C208,C2,diversified_tight_30s,25,954.0,585.8,time limit exceeded,-548.89,False,,,,300.0,200970
C208,C2,rule_lfo_C2,25,954.0,585.8,time limit exceeded,-1374.12,False,,,,300.0,270755
R101,R1,single_tight_30s,25,1936.0,1637.7,integer optimal solution,-151.0,False,,,,0.2,0
R101,R1,diversified_tight_30s,25,1936.0,1637.7,integer optimal solution,-133.0,False,,,,0.2,0
R101,R1,rule_lfo_R1,25,1760.68,1637.7,integer optimal solution,-39.63,False,,,,0.2,0
R105,R1,single_tight_30s,25,1891.76,1355.3,integer optimal solution,-269.19,False,,,,74.8,24654
R105,R1,diversified_tight_30s,25,1602.95,1355.3,integer optimal solution,-100.79,False,,,,49.6,11092
R105,R1,rule_lfo_R1,25,1713.8,1355.3,integer optimal solution,-191.27,False,,,,100.3,64409
R108,R1,single_tight_30s,25,1716.0,932.1,time limit exceeded,-318.0,False,,,,300.0,56179
R108,R1,diversified_tight_30s,25,1716.0,932.1,time limit exceeded,-318.0,False,,,,300.0,55598
R108,R1,rule_lfo_R1,25,1716.0,932.1,time limit exceeded,-318.0,False,,,,300.0,56209
R201,R2,single_tight_30s,25,1677.0,1143.2,time limit exceeded,-1094.0,False,,,,300.0,59946
R201,R2,diversified_tight_30s,25,1677.0,1143.2,time limit exceeded,-1091.0,False,,,,300.0,59760
R201,R2,rule_lfo_R2,25,1677.0,1143.2,time limit exceeded,-609.47,False,,,,300.0,94620
R205,R2,single_tight_30s,25,1696.0,949.8,time limit exceeded,-802.56,False,,,,300.0,145548
R205,R2,diversified_tight_30s,25,1696.0,949.8,time limit exceeded,-770.83,False,,,,300.3,106996
R205,R2,rule_lfo_R2,25,1465.61,949.8,time limit exceeded,-1066.53,False,,,,300.0,110513
RC105,RC1,single_tight_30s,25,2321.0,1513.7,time limit exceeded,-333.17,False,,,,300.0,53048
RC105,RC1,diversified_tight_30s,25,2109.7,1513.7,time limit exceeded,-183.34,False,,,,300.0,53604
RC105,RC1,rule_lfo_RC1,25,2037.35,1513.7,time limit exceeded,-142.7,False,,,,300.0,53977
RC108,RC1,single_tight_30s,25,2304.0,1114.2,time limit exceeded,-305.0,False,,,,300.0,59669
RC108,RC1,diversified_tight_30s,25,2304.0,1114.2,time limit exceeded,-416.0,False,,,,300.0,67562
RC108,RC1,rule_lfo_RC1,25,2304.0,1114.2,time limit exceeded,-182.0,False,,,,300.0,56299
RC204,RC2,single_tight_30s,25,1284.0,783.5,time limit exceeded,-669.2,False,,,,300.0,234066
RC204,RC2,diversified_tight_30s,25,1284.0,783.5,time limit exceeded,-719.33,False,,,,300.0,223521
RC204,RC2,rule_lfo_RC2,25,1284.0,783.5,time limit exceeded,-728.45,False,,,,300.0,233452
RC208,RC2,single_tight_30s,25,2183.0,776.1,time limit exceeded,-1455.0,False,,,,300.2,330887
RC208,RC2,diversified_tight_30s,25,2183.0,776.1,time limit exceeded,-1999.0,False,,,,300.0,227236
RC208,RC2,rule_lfo_RC2,25,2183.0,776.1,time limit exceeded,-926.0,False,,,,300.0,196241
