instance,family,rule_ticks,rule_lp,rule_tl,rule_iters,single_ticks,single_lp,single_tl,div_ticks,div_lp,div_tl,oracle_ticks,ticks_vs_div,ticks_vs_single,gap_closed
C102,C1,2812923.190999031,1299.9999999999995,40,40,2745234.5466804504,1300.0000000000002,29,2415215.4846630096,1300.0,40,2415215.4846630096,1.164667587162109,1.02465678001919,
C103,C1,1081214.2098808289,1987.0,15,15,2282916.958586693,1987.0,22,810532.8495931625,1987.0,12,810532.8495931625,1.3339548303607085,0.4736108362654533,
C104,C1,760100.4010639191,2013.0,10,10,783879.4707212448,2013.0,9,2108802.364593506,2013.0,28,783879.4707212448,0.36044174353457564,0.9696648904002465,1.0179475120909325
C105,C1,101970.53585624695,1320.9999999999998,0,40,114308.49210834503,1321.0000000000002,0,227029.99485206604,1306.3271105754775,0,227029.99485206604,0.4491500602054433,0.8920643950022209,
C106,C1,1593938.8806829453,1522.987812132873,25,40,382079.8408689499,1777.9999999999995,2,2451446.844578743,1452.1681786067354,40,2451446.844578743,0.6502033214417292,4.171742945290989,
C107,C1,1399369.733967781,1570.0,19,40,445388.6480913162,1570.0000000000002,3,2414999.9591760635,1542.8443027452108,35,2414999.9591760635,0.5794491749992453,3.141907051211763,
C108,C1,2308796.7372550964,1890.0048749757134,38,40,1811991.4019260406,2115.0000000000005,25,2321513.3608646393,2033.7827158005534,40,2321513.3608646393,0.9945222699020752,1.2741764308599814,
C109,C1,2763968.2474164963,1741.0,40,40,1553394.0170783997,1741.0,19,649774.5265398026,1741.0,10,649774.5265398026,4.2537343871192625,1.7793091881575072,
C208,C2,1390626.5510492325,954.0000000000001,18,40,915749.9116735458,954.0,0,3099516.635749817,954.0000000000001,37,915749.9116735458,0.4486591667261112,1.5185658587810758,0.7825424143796501
C205,C2,1711770.0019407272,643.0,24,40,242141.99503803253,786.0,1,2585943.2731161118,786.0000000000007,38,242141.99503803253,0.6619518764145245,7.069281814052389,0.37297243556937043
C201,C2,67403.94918823242,701.0,1,40,11357.446171760559,701.0,0,73661.3000164032,701.0,0,11357.446171760559,0.915052397571352,5.934780422365312,0.1004328053891137
C204,C2,2173929.383713722,1441.9999999999998,31,40,2398330.446967125,1441.9999999999998,5,3129557.4797878265,1338.8195455137316,40,3129557.4797878265,0.6946443379787699,0.9064344683873004,
C202,C2,2479541.938563347,644.0,32,40,865364.180639267,657.0,3,3032732.5430259705,701.9999999999997,38,865364.180639267,0.8175933430942557,2.865316122434886,0.25523607987589647
C207,C2,134644.50346946716,1008.0,2,2,1292022.4434156418,1007.9999999999999,3,2945677.532559395,1008.0,38,1292022.4434156418,0.04570917963056171,0.10421220169636962,1.6998907738042606
C203,C2,2053050.6429243088,1083.9143559820977,29,40,2121012.1324300766,1114.0,4,2787361.2555036545,746.5229292950384,35,2787361.2555036545,0.7365570712696652,0.9679579911559001,
C206,C2,1556663.036956787,1029.8783078307824,21,40,889085.2047472,1150.0,1,2805472.4908151627,1036.373034542772,40,2805472.4908151627,0.5548666194564896,1.750859229964809,
R112,R1,709377.000667572,2188.0,10,10,226125.75268173218,2188.0,3,492461.01249980927,2188.0,7,226125.75268173218,1.4404734236049737,3.1370907216658646,-0.8144471307176127
R108,R1,60254.935238838196,1716.0,1,1,65517.221735954285,1716.0,1,65981.98901748657,1716.0,1,65517.221735954285,0.9132027714846458,0.9196808662259213,12.322411680458439
R111,R1,116368.63156890869,1938.0,2,2,188048.5475883484,1938.0,3,188251.66592884064,1938.0,3,188048.5475883484,0.6181545910616068,0.61882228318853,353.8973102366163
R109,R1,447684.066819191,2070.0,8,8,1664383.5835561752,2062.955882352941,24,2419937.3727931976,2008.7633175900746,40,2419937.3727931976,0.1849982036115482,0.26897890080281545,
R110,R1,117232.56544876099,2008.0,2,2,187487.39293766022,2008.0,3,187856.56563663483,2008.0,3,187487.39293766022,0.6240535966973885,0.6252823915885425,191.30342082183915
R105,R1,1296749.0603656769,1713.8025258932237,24,40,766463.4769763947,1891.764977841327,6,2287945.2814235687,1602.9547036282124,38,2287945.2814235687,0.5667745076310716,1.6918602116322548,
R104,R1,251001.12549114227,1603.0,4,4,2322827.6119422913,1603.0,32,2285049.0318012238,1603.0,34,2285049.0318012238,0.10984496262353151,0.10805843886161716,
R101,R1,16856.48834323883,1760.6848463681429,0,40,14998.722772598267,1936.0000000000005,0,17189.45947742462,1768.8114073229128,0,17189.45947742462,0.9806293423814116,1.123861584670035,
R107,R1,113819.6566619873,1573.0,2,2,596336.0558185577,1573.0,7,397360.6434793472,1573.0,6,397360.6434793472,0.28643917944506514,0.19086495869473014,
R102,R1,2581853.663582802,1638.0000000000002,40,40,539846.997294426,1638.0,8,798322.9766244888,1638.0,12,539846.997294426,3.234096649077459,4.782565572323986,-6.900179628223093
R106,R1,350764.74557971954,1660.0,6,6,185910.7202644348,1660.0,3,185338.7814464569,1660.0,3,185338.7814464569,1.892559899456623,1.8867375968464886,
R103,R1,585452.1495933533,1493.0,9,9,1320720.5352973938,1493.0,11,480359.7539215088,1493.0,7,480359.7539215088,1.2187785192533358,0.4432823855968317,
R206,R2,121819.64666366577,1568.0,2,2,1405881.7766914368,1568.0,10,344952.4823446274,1568.0,5,344952.4823446274,0.3531490651572147,0.08664999339443231,
R203,R2,131006.904545784,1272.0,2,2,393740.6582069397,1272.0,5,472309.89363098145,1272.0,8,393740.6582069397,0.27737488947911065,0.3327238419887291,4.343977477229728
R207,R2,453137.87670993805,1601.0,7,7,1945222.998512268,1600.9999999999998,12,580061.7373638153,1601.0,8,580061.7373638153,0.7811890485473092,0.23294906396670398,
R202,R2,127250.149310112,1559.0,2,2,100869.09829425812,1559.0,2,629994.6595964432,1559.0,11,100869.09829425812,0.20198607618614556,1.2615374922743372,0.9501421723967941
